Full State,Short State,ISO-3166-2
Alabama,AL,US-AL
Alaska,AK,US-AK
Arizona,AZ,US-AZ
Arkansas,AR,US-AR
California,CA,US-CA
Colorado,CO,US-CO
Connecticut,CT,US-CT
Delaware,DE,US-DE
Florida,FL,US-FL
Georgia,GA,US-GA
Hawaii,HI,US-HI
Idaho,ID,US-ID
Illinois,IL,US-IL
Indiana,IN,US-IN
Iowa,IA,US-IA
Kansas,KS,US-KS
Kentucky,KY,US-KY
Louisiana,LA,US-LA
Maine,ME,US-ME
Maryland,MD,US-MD
Massachusetts,MA,US-MA
Michigan,MI,US-MI
Minnesota,MN,US-MN
Mississippi,MS,US-MS
Missouri,MO,US-MO
Montana,MT,US-MT
Nebraska,NE,US-NE
Nevada,NV,US-NV
New Hampshire,NH,US-NH
New Jersey,NJ,US-NJ
New Mexico,NM,US-NM
New York,NY,US-NY
North Carolina,NC,US-NC
North Dakota,ND,US-ND
Ohio,OH,US-OH
Oklahoma,OK,US-OK
Oregon,OR,US-OR
Pennsylvania,PA,US-PA
Rhode Island,RI,US-RI
South Carolina,SC,US-SC
South Dakota,SD,US-SD
Tennessee,TN,US-TN
Texas,TX,US-TX
Utah,UT,US-UT
Vermont,VT,US-VT
Virginia,VA,US-VA
Washington,WA,US-WA
West Virginia,WV,US-WV
Wisconsin,WI,US-WI
Wyoming,WY,US-WY
District of Columbia,DC,US-DC
American Samoa,AS,US-AS
Guam,GU,US-GU
Northern Mariana Islands,MP,US-MP
Puerto Rico,PR,US-PR
Unites State Minor Outlying Islands,UM,US-UM
U.S. Virgin Islands,VI,US-VI
